dsb_sense_id|slownet_synset_id
46381|eng-30-00040365-b
8281843|eng-30-00040365-b
8282443|eng-30-00040365-b
8269266|eng-30-00041361-a
8269267|eng-30-00041361-a
39171|eng-30-00041488-a
15945|eng-30-00041488-a
8212219|eng-30-00041954-b
8212220|eng-30-00041954-b
8364637|eng-30-00042541-n
8309599|eng-30-00042541-n
8280653|eng-30-00042614-b
8281228|eng-30-00042614-b
8318738|eng-30-00043003-b
8281878|eng-30-00043003-b
8305625|eng-30-00043195-n
8305626|eng-30-00043195-n
74656|eng-30-00043609-n
74397|eng-30-00043609-n
8271571|eng-30-00043765-a
8269184|eng-30-00043765-a
61546|eng-30-00044150-n
8295194|eng-30-00044150-n
8295183|eng-30-00044150-n
8296274|eng-30-00044150-n
61606|eng-30-00044150-n
24192|eng-30-00044353-a
8274064|eng-30-00044353-a
24298|eng-30-00044353-a
8272846|eng-30-00044353-a
8274065|eng-30-00044353-a
8160228|eng-30-00044353-a
8281144|eng-30-00044861-b
8281145|eng-30-00044861-b
8295666|eng-30-00044900-n
8295669|eng-30-00044900-n
8295664|eng-30-00044900-n
8295667|eng-30-00044900-n
8295670|eng-30-00044900-n
8295671|eng-30-00044900-n
8267430|eng-30-00045817-v
8268894|eng-30-00045817-v
8267431|eng-30-00045817-v
8268895|eng-30-00045817-v
8258045|eng-30-00046151-v
8258044|eng-30-00046151-v
8279443|eng-30-00046299-b
8280115|eng-30-00046299-b
8279445|eng-30-00046299-b
8279442|eng-30-00046863-b
8279417|eng-30-00046863-b
5754|eng-30-00047317-v
6341|eng-30-00047317-v
8279443|eng-30-00047392-b
8280115|eng-30-00047392-b
8269136|eng-30-00047534-b
8269133|eng-30-00047534-b
1385|eng-30-00047745-v
3185|eng-30-00047745-v
8280703|eng-30-00047903-b
8280706|eng-30-00047903-b
8281200|eng-30-00047903-b
8281199|eng-30-00047903-b
8262047|eng-30-00047945-v
8261607|eng-30-00047945-v
8269083|eng-30-00048138-b
8280703|eng-30-00048138-b
8269082|eng-30-00048138-b
8280705|eng-30-00048138-b
8273455|eng-30-00048460-a
8273456|eng-30-00048460-a
8367828|eng-30-00048475-b
8279768|eng-30-00048475-b
8279636|eng-30-00048739-b
8279637|eng-30-00048739-b
8303779|eng-30-00048828-n
8303777|eng-30-00048828-n
16370|eng-30-00048858-a
8269124|eng-30-00048858-a
8270919|eng-30-00048858-a
16556|eng-30-00048858-a
24562|eng-30-00048858-a
8270920|eng-30-00048858-a
24714|eng-30-00048858-a
29602|eng-30-00048858-a
29734|eng-30-00048858-a
8270919|eng-30-00049016-a
16556|eng-30-00049016-a
8279770|eng-30-00049220-b
8279771|eng-30-00049220-b
19609|eng-30-00049469-a
37687|eng-30-00049469-a
8270919|eng-30-00049879-a
16556|eng-30-00049879-a
8291693|eng-30-00050037-n
8294707|eng-30-00050037-n
8280048|eng-30-00050297-b
8282208|eng-30-00050297-b
8203869|eng-30-00050652-v
3285|eng-30-00050652-v
8279556|eng-30-00050817-b
8280631|eng-30-00050817-b
8269207|eng-30-00051045-a
8269208|eng-30-00051045-a
8273141|eng-30-00051373-a
39288|eng-30-00051373-a
80701|eng-30-00053097-n
89578|eng-30-00053097-n
8279638|eng-30-00053274-b
8280393|eng-30-00053274-b
22609|eng-30-00053691-a
22613|eng-30-00053691-a
34168|eng-30-00053691-a
37580|eng-30-00053691-a
8264289|eng-30-00054628-v
8264288|eng-30-00054628-v
8264287|eng-30-00054628-v
8291650|eng-30-00054821-n
8291651|eng-30-00054821-n
8279439|eng-30-00054950-b
8279445|eng-30-00054950-b
40887|eng-30-00055101-b
8280352|eng-30-00055101-b
43274|eng-30-00055101-b
8279611|eng-30-00055101-b
43345|eng-30-00055101-b
45329|eng-30-00055101-b
8279439|eng-30-00055101-b
8227262|eng-30-00055142-v
8338719|eng-30-00055142-v
8247938|eng-30-00055142-v
8338720|eng-30-00055142-v
8306769|eng-30-00055315-n
8306767|eng-30-00055315-n
8269701|eng-30-00055539-a
8269712|eng-30-00055539-a
8269713|eng-30-00055539-a
8269703|eng-30-00055539-a
8269702|eng-30-00055539-a
8155535|eng-30-00056087-n
8290992|eng-30-00056087-n
8291279|eng-30-00056087-n
60215|eng-30-00056311-n
83536|eng-30-00056311-n
6013|eng-30-00056930-v
8265305|eng-30-00056930-v
8265303|eng-30-00056930-v
8265306|eng-30-00056930-v
8279909|eng-30-00057257-b
8279682|eng-30-00057257-b
8279238|eng-30-00057388-b
8280266|eng-30-00057388-b
8265322|eng-30-00058401-v
8265325|eng-30-00058401-v
8265321|eng-30-00058401-v
8265324|eng-30-00058401-v
8284923|eng-30-00059127-n
8284924|eng-30-00059127-n
6951|eng-30-00059376-v
8915|eng-30-00059376-v
2242|eng-30-00060185-v
5286|eng-30-00060185-v
8274441|eng-30-00060397-a
25578|eng-30-00060397-a
30617|eng-30-00060397-a
8260744|eng-30-00060477-v
8260747|eng-30-00060477-v
8260749|eng-30-00060477-v
8260745|eng-30-00060477-v
8260748|eng-30-00060477-v
8260750|eng-30-00060477-v
8257227|eng-30-00060632-b
8257225|eng-30-00060632-b
8219181|eng-30-00061203-b
8281162|eng-30-00061203-b
42239|eng-30-00061203-b
8281159|eng-30-00061203-b
43876|eng-30-00061203-b
8281160|eng-30-00061203-b
8260744|eng-30-00061219-v
8260747|eng-30-00061219-v
